"","Actual","mean","sd","2.5%","97.5%"
"1",0.5,0.1572635724447,0.103167473363971,0.03227657525,0.4138013785
"2",0.75,0.54161710178,0.066840201194667,0.40849869325,0.66862368675
"3",0.85,0.69319115182,0.0584041196532653,0.57124741,0.7965275425
"4",0.95,0.83708783361,0.0207579867462465,0.7939466965,0.874118502
"5",1.5,1.2940161506,0.025804537235432,1.2433531525,1.34498098
"6",6,6.5877389539,0.0702061989047416,6.44319829,6.7258444225
"7",7,7.6160661177,0.0587947971999823,7.5085290175,7.731967085
"8",6.5,7.7649301814,0.0770444452083741,7.6135614275,7.91393652
"9",5,5.5299109303,0.0584050535146798,5.417644865,5.64420014
"10",1.9,1.886824003,0.030040611324703,1.8304406375,1.9489145275
"11",-0.5,-0.53373793466,0.0291861255256184,-0.5894447865,-0.47667135925
"12",-1.4,-1.3886608343,0.0311559606253921,-1.448972555,-1.3276831375
"13",0,-0.015306000565093,0.0243676592958036,-0.06367759965,0.030868377625
"14",0,0.0281350836357787,0.0243905862826684,-0.02098672045,0.074396914675
"15",20.64,20.64,20.64,20.64,20.64
