"","Actual","mean","sd","2.5%","97.5%"
"1","0.5",0.4836436333371,0.246727765853005,0.0396429261,0.89721755725
"2","0.75",0.72116565435,0.144849046506482,0.3505741455,0.93149403625
"3","0.85",0.91832688476,0.0333255897782701,0.84115824625,0.97430087525
"4","0.95",0.92513742795,0.0288758283619635,0.856720722,0.975216395
"5","1.5",1.5994637565,0.263711686048001,1.3314155575,2.3359719775
"6","6|7|6.5|5",7.074413347,0.471110132127967,6.2793038025,8.1650988375
"7","1.9",1.9147500181,0.0590657910871339,1.8018432925,2.026466495
"8","-0.5",-0.48457548283,0.0611010240917685,-0.60699652025,-0.3660436535
"9","-1.4",-1.3659697081,0.0598578820038305,-1.4846279525,-1.2510862375
"10","0",0.020660445145157,0.031892622858568,-0.03958707555,0.08616662435
"11","0",0.006143014239169,0.0305583807851497,-0.05394443685,0.066092413625
"12","25.3",25.3,25.3,25.3,25.3
