"","Actual","mean","sd","2.5%","97.5%"
"1",0.5,0.61497551882492,0.292518580542882,0.03782816095,0.9775558145
"2",0.75,0.7821584331572,0.20044618419847,0.1511528295,0.98378506225
"3",0.85,0.93779803582,0.04243327269044,0.83428439075,0.99316100025
"4",0.95,0.94241575199,0.0351670589823696,0.866701282,0.99265263075
"5",1.5,1.9921402984,0.765629038529116,1.3003180525,4.299620915
"6",6,6.3928821416,1.24776064265553,3.8234096075,8.8314763975
"7",7,7.5422423791,1.46467348234058,3.9660337025,10.2358686
"8",6.5,7.4843147832,1.70495215906937,3.85044357,10.683439
"9",5,6.3519564719,1.39440315397915,3.7493894,9.0006273775
"10",1.9,1.9150270433,0.0587882725861058,1.7985586225,2.029122405
"11",-0.5,-0.47811149614,0.0641069813778649,-0.61554698775,-0.36113684425
"12",-1.4,-1.3619514384,0.0564672308277241,-1.46592211,-1.24430117
"13",0,0.017322032020274,0.0294692813522377,-0.0352494989,0.073346415525
"14",0,0.001003713537208,0.0324135318804221,-0.060403222,0.0600348081
"15",58.53,58.53,58.53,58.53,58.53
