"","Actual","mean","sd","2.5%","97.5%"
"1","0.5",0.285114770621,0.165353918657347,0.0513886513,0.66301679225
"2","0.75",0.71202177055,0.0580527405094927,0.589587911,0.81806075875
"3","0.85",0.90696281641,0.0251620404743444,0.84858403725,0.94943036275
"4","0.95",0.91710657418,0.0183942066789196,0.875138172,0.94920855825
"5","1.5",1.472425517,0.0589837218481259,1.364634245,1.6017920975
"6","6|7|6.5|5",6.8102102009,0.0648149111339223,6.6830314575,6.938833035
"7","1.9",1.9280615461,0.0594947019821664,1.8136592725,2.04068582
"8","-0.5",-0.47804586433,0.065745412995993,-0.60496924575,-0.34828627975
"9","-1.4",-1.3635104315,0.0619563526106865,-1.4861233825,-1.243715715
"10","0",0.02377006833827,0.029633402610464,-0.033606212775,0.082938515475
"11","0",0.010399188849143,0.0296690880157322,-0.047905669975,0.0656611987
"12","12.15",12.15,12.15,12.15,12.15
