"","yhat_SN",""
"y_all[1]",4.20822421825,2.52193401843431
"y_all[2]",6.9847913701,7.2764125776245
"y_all[4]",11.1725753783,9.25622786569272
"y_all[5]",9.1870406773,10.046991925793
"y_all[6]",4.044448367332,2.29477376168474
"y_all[7]",4.7709541027323,1.9360407798607
"y_all[8]",7.5981030483,8.48706822209914
"y_all[9]",5.35366199559,6.93550964128861
"y_all[10]",3.750948564095,4.58023724920607
"y_all[11]",9.6363850239,7.37244184996756
"y_all[12]",6.99281764175,8.20697956326172
"y_all[13]",7.8071480659,6.72772116366279
"y_all[14]",-0.529727805023,-0.826499719763348
"y_all[15]",8.3359967375,7.81344068451024
"y_all[16]",7.0461418531,6.63812507531958
"y_all[17]",7.7787624701,9.02653222609296
"y_all[18]",11.6484042111,12.2974981656249
"y_all[19]",8.7693152451,10.0104932690448
"y_all[20]",8.2842045925,6.12801171159699
"y_all[21]",9.2719370101,9.67023264080726
"y_all[22]",5.9383201441,5.42880910868752
"y_all[23]",4.62070063851,4.78046685797435
"y_all[24]",5.9243189405,5.70845067356136
"y_all[25]",8.0030302176,9.29859253071803
"y_all[26]",8.0566868598,6.95489337568518
"y_all[28]",5.5797662768,4.61663842222067
"y_all[29]",7.9002283717,8.9827062681994
"y_all[30]",7.9728709242,8.12486621516255
"y_all[31]",7.3586232428,7.78748938130615
"y_all[32]",8.2754276567,6.80377066209229
"y_all[33]",8.2451400908,8.51607407270946
"y_all[34]",6.0056031322,7.37798592292869
"y_all[35]",3.69197806859,2.32076365033347
"y_all[36]",6.2358875725,7.76147422331376
"y_all[37]",6.5639732066,9.36955821582104
"y_all[38]",5.9787425199,4.74508867847275
"y_all[39]",6.5596224352,6.2136505978067
"y_all[40]",5.52373154088,4.34923752778518
"y_all[41]",5.56132848523,7.0105920038131
"y_all[42]",6.9897413709,6.07489808659736
"y_all[43]",6.4495805569,3.61425999415288
"y_all[44]",10.3798741234,8.91990395812431
"y_all[45]",6.4621531405,5.06549719189953
"y_all[46]",5.224165804577,3.15294441847769
"y_all[48]",8.8486698597,8.25286400265586
