"","yhat_SN",""
"y_all[1]",4.156812291042,2.52193401843431
"y_all[2]",6.9235699169,7.2764125776245
"y_all[4]",11.2069158475,9.25622786569272
"y_all[5]",9.1808552231,10.046991925793
"y_all[6]",4.015213888133,2.29477376168474
"y_all[7]",4.711772751161,1.9360407798607
"y_all[8]",7.5532965677,8.48706822209914
"y_all[9]",5.32534580826,6.93550964128861
"y_all[10]",3.611947509056,4.58023724920607
"y_all[11]",9.6749743977,7.37244184996756
"y_all[12]",6.9537014104,8.20697956326172
"y_all[13]",7.7634611463,6.72772116366279
"y_all[14]",-0.615203366947,-0.826499719763348
"y_all[15]",8.3542043815,7.81344068451024
"y_all[16]",6.84702254011,6.63812507531958
"y_all[17]",7.6643119992,9.02653222609296
"y_all[18]",11.7545501409,12.2974981656249
"y_all[19]",8.6884861454,10.0104932690448
"y_all[20]",8.3010873344,6.12801171159699
"y_all[21]",9.2099550463,9.67023264080726
"y_all[22]",5.9368164833,5.42880910868752
"y_all[23]",4.56186737823,4.78046685797435
"y_all[24]",5.973692971,5.70845067356136
"y_all[25]",8.0206832413,9.29859253071803
"y_all[26]",8.0657263053,6.95489337568518
"y_all[28]",5.6602383432,4.61663842222067
"y_all[29]",7.8390691429,8.9827062681994
"y_all[30]",7.9149349628,8.12486621516255
"y_all[31]",7.3249776273,7.78748938130615
"y_all[32]",8.3460286998,6.80377066209229
"y_all[33]",8.2163686842,8.51607407270946
"y_all[34]",5.96766027247,7.37798592292869
"y_all[35]",3.678131068684,2.32076365033347
"y_all[36]",6.1603687656,7.76147422331376
"y_all[37]",6.4132290442,9.36955821582104
"y_all[38]",5.94501851616,4.74508867847275
"y_all[39]",6.5144641247,6.2136505978067
"y_all[40]",5.58741252666,4.34923752778518
"y_all[41]",5.5431439812,7.0105920038131
"y_all[42]",6.8084350706,6.07489808659736
"y_all[43]",6.4870681573,3.61425999415288
"y_all[44]",10.1997868648,8.91990395812431
"y_all[45]",6.4265805726,5.06549719189953
"y_all[46]",5.005270062874,3.15294441847769
"y_all[48]",8.8825853172,8.25286400265586
"y_all[49]",3.024245136398,2.98540749270984
"y_all[50]",9.3236287086,8.53126437239172
"y_all[51]",8.9569594758,9.82143041950434
"y_all[52]",2.3637733557351,2.91371030023858
"y_all[53]",5.9002170541,4.7459753312842
"y_all[54]",5.07055267672,5.97452642223979
"y_all[55]",10.2306376071,11.9709333110682
"y_all[56]",9.4247009246,10.1697211794311
"y_all[58]",6.4756804225,5.21112466586595
"y_all[59]",8.3451832829,9.0358187922529
"y_all[60]",5.8487102103,7.13941065750559
"y_all[61]",10.4471807302,10.4167565029306
"y_all[62]",8.241931136,10.5533085924531
"y_all[63]",5.35580092899,5.21419617035635
"y_all[64]",7.7699289367,8.22624618271749
"y_all[65]",5.29533100202,4.42314553457537
"y_all[66]",6.32159862018,6.93220570839247
"y_all[67]",2.186425544327,1.68644822067777
"y_all[68]",7.1826304824,7.23551239002914
"y_all[69]",2.827757540853,2.84138174728088
"y_all[70]",9.2977031631,8.35248402077283
"y_all[71]",6.14837497178,4.76366270366024
"y_all[72]",7.701678356,8.10775717327603
"y_all[73]",5.3303553574,5.59674464094464
"y_all[74]",4.73987628886,3.6470159289406
"y_all[75]",4.144558987144,5.88630641489432
"y_all[76]",7.3134437583,7.19130167507367
"y_all[77]",5.4682144487,1.51428734987557
"y_all[78]",3.620301044085,3.92800346111958
"y_all[79]",4.18620688738,4.73072093751331
"y_all[80]",6.4537639344,5.29147673283685
"y_all[81]",6.7763102304,7.87301967105115
"y_all[83]",11.3699054263,10.4306584860622
"y_all[84]",3.356965619948,4.80461277956128
"y_all[86]",4.9235569623,4.73115244885915
"y_all[87]",10.6043562645,8.9365460097903
"y_all[88]",4.495583269434,3.45731085306759
"y_all[89]",6.0511521438,8.28718350660448
"y_all[90]",7.4001084108,10.669721448262
"y_all[91]",7.5734224839,6.57714961335075
"y_all[92]",9.6731085794,10.8605901745094
"y_all[93]",6.4896322112,5.85995222271708
"y_all[94]",6.4430110959,6.9582850332788
"y_all[95]",9.5498366004,9.57503710390857
"y_all[96]",12.1224165832,12.361248141095
"y_all[97]",3.452692775009,1.10176963180576
"y_all[98]",5.394621342713,5.0582458250776
"y_all[99]",7.1224652203,5.8997863378351
"y_all[100]",6.4212477578,5.72984147052766
"y_all[101]",4.94457281996,3.50921350889315
"y_all[102]",6.5373376444,8.22655807063528
"y_all[103]",4.03554597048,6.91845215373133
"y_all[104]",7.0014112719,8.11341447450096
"y_all[105]",5.6157213436,5.31644320171753
"y_all[106]",8.1113442825,5.4664692403948
"y_all[107]",7.8061487309,8.65090460146437
"y_all[108]",9.7388762759,11.3052031265218
"y_all[109]",8.4207195131,9.04019598347895
"y_all[110]",8.5102116442,7.49115113277688
"y_all[111]",4.003199631568,1.8997041992671
"y_all[112]",5.942141929,6.26550185779067
"y_all[113]",8.3745780547,9.97096148036545
"y_all[114]",4.6621899883093,4.30925964458591
"y_all[115]",6.5966098404,4.43499764865705
"y_all[116]",3.3936057967296,2.82893161416431
"y_all[117]",8.0488162806,10.1778665640993
"y_all[118]",5.4783500196,6.15147773218264
"y_all[119]",8.1349219292,7.58056098776056
"y_all[121]",5.7545850393,5.07855407317861
"y_all[122]",9.6862234485,9.77197339957308
"y_all[123]",6.4739185937,5.64573754812815
