"","yhat_SN",""
"y_all[1]",4.1579326799179,2.52193401843431
"y_all[2]",7.0185699542,7.2764125776245
"y_all[4]",11.116846575,9.25622786569272
"y_all[5]",9.1365522398,10.046991925793
"y_all[6]",4.09739239902,2.29477376168474
"y_all[7]",4.61423056641,1.9360407798607
"y_all[8]",7.3803229912,8.48706822209914
"y_all[9]",5.26283706603,6.93550964128861
"y_all[10]",3.715428000878,4.58023724920607
"y_all[11]",9.5935534764,7.37244184996756
"y_all[12]",6.9809423122,8.20697956326172
"y_all[13]",8.0226085854,6.72772116366279
"y_all[14]",-0.35474142274068,-0.826499719763348
"y_all[15]",8.2417564451,7.81344068451024
"y_all[17]",7.7470100623,9.02653222609296
"y_all[18]",11.7059620944,12.2974981656249
"y_all[19]",8.7089049023,10.0104932690448
"y_all[20]",8.1691813768,6.12801171159699
"y_all[21]",9.2354790979,9.67023264080726
"y_all[22]",5.7147608454,5.42880910868752
"y_all[23]",4.36698062621,4.78046685797435
"y_all[24]",6.2974898635,5.70845067356136
"y_all[25]",8.0549243321,9.29859253071803
"y_all[26]",8.165402855,6.95489337568518
"y_all[28]",5.9174442566,4.61663842222067
"y_all[29]",7.9596745196,8.9827062681994
"y_all[31]",7.008344581,7.78748938130615
"y_all[32]",8.3624205132,6.80377066209229
"y_all[33]",8.3598819469,8.51607407270946
"y_all[34]",5.9680846468,7.37798592292869
"y_all[35]",3.8400836147485,2.32076365033347
"y_all[36]",6.286761416,7.76147422331376
"y_all[37]",6.7119020199,9.36955821582104
"y_all[38]",5.8793064229,4.74508867847275
"y_all[39]",6.3336985512,6.2136505978067
"y_all[40]",5.27991313765,4.34923752778518
"y_all[41]",5.48029829184,7.0105920038131
"y_all[42]",6.8607432406,6.07489808659736
"y_all[43]",6.4826125182,3.61425999415288
"y_all[44]",10.4390841029,8.91990395812431
"y_all[45]",6.6981276009,5.06549719189953
"y_all[46]",5.18465061094,3.15294441847769
"y_all[48]",8.8750652629,8.25286400265586
"y_all[49]",2.967671148577,2.98540749270984
"y_all[50]",9.1377691784,8.53126437239172
"y_all[51]",8.9291734358,9.82143041950434
"y_all[52]",2.3449669871819,2.91371030023858
"y_all[53]",5.7892807836,4.7459753312842
"y_all[54]",5.2183739231,5.97452642223979
"y_all[55]",10.167817028,11.9709333110682
"y_all[56]",9.355856506,10.1697211794311
"y_all[58]",6.6453910067,5.21112466586595
"y_all[59]",8.3012942415,9.0358187922529
"y_all[60]",6.0303640666,7.13941065750559
"y_all[61]",10.1885089577,10.4167565029306
"y_all[62]",8.4353712101,10.5533085924531
"y_all[63]",5.21865005057,5.21419617035635
"y_all[64]",7.8666520196,8.22624618271749
"y_all[65]",5.5866791796,4.42314553457537
"y_all[66]",6.4751343502,6.93220570839247
"y_all[67]",2.2168832997776,1.68644822067777
"y_all[68]",7.0806525788,7.23551239002914
"y_all[69]",2.62566227759432,2.84138174728088
"y_all[70]",9.0855895546,8.35248402077283
"y_all[71]",6.0270710822,4.76366270366024
"y_all[72]",8.1589853366,8.10775717327603
"y_all[73]",5.21726895378,5.59674464094464
"y_all[74]",4.87903347061,3.6470159289406
"y_all[75]",4.43529174536,5.88630641489432
"y_all[76]",7.2483985287,7.19130167507367
"y_all[77]",5.39756517862,1.51428734987557
"y_all[78]",3.632613114925,3.92800346111958
"y_all[79]",4.14087703658,4.73072093751331
"y_all[81]",7.0607088899,7.87301967105115
"y_all[83]",11.4824496471,10.4306584860622
"y_all[84]",3.6955908044915,4.80461277956128
"y_all[86]",4.78308693703,4.73115244885915
"y_all[87]",10.7126170744,8.9365460097903
"y_all[88]",4.489373018283,3.45731085306759
"y_all[89]",5.9665841198,8.28718350660448
"y_all[90]",7.4167388428,10.669721448262
"y_all[91]",7.7677375804,6.57714961335075
"y_all[92]",9.611079591,10.8605901745094
"y_all[93]",6.2989953509,5.85995222271708
"y_all[94]",6.2901368973,6.9582850332788
"y_all[95]",9.4757204689,9.57503710390857
"y_all[96]",12.2162300406,12.361248141095
"y_all[98]",5.4792366572,5.0582458250776
"y_all[99]",7.4812238885,5.8997863378351
"y_all[100]",6.5967281781,5.72984147052766
"y_all[101]",4.98554587584,3.50921350889315
"y_all[102]",6.5373366409,8.22655807063528
"y_all[103]",4.34353097147,6.91845215373133
"y_all[104]",6.9680607926,8.11341447450096
"y_all[105]",5.7094425342,5.31644320171753
"y_all[106]",7.8682849429,5.4664692403948
"y_all[107]",7.7139650387,8.65090460146437
"y_all[108]",9.7197991758,11.3052031265218
"y_all[109]",8.3833932554,9.04019598347895
"y_all[110]",8.4182984152,7.49115113277688
"y_all[111]",4.14560684302,1.8997041992671
"y_all[112]",6.2111161501,6.26550185779067
"y_all[113]",8.1789858164,9.97096148036545
"y_all[114]",4.80772208328,4.30925964458591
"y_all[115]",6.7574271316,4.43499764865705
"y_all[116]",3.366295713023,2.82893161416431
"y_all[117]",8.2616279398,10.1778665640993
"y_all[118]",5.50042990454,6.15147773218264
"y_all[119]",8.2331934724,7.58056098776056
"y_all[121]",5.9988099073,5.07855407317861
"y_all[122]",9.6148800237,9.77197339957308
"y_all[123]",6.5523747397,5.64573754812815
