"","Actual","mean","sd","2.5%","97.5%"
"1","-0.5",0.08165472182964,0.657301798320775,-0.89816656775,0.92523758575
"2","0.75",0.79464703843,0.0920609601924958,0.5966815625,0.950573213
"3","-0.85",-0.260558568352,0.775279540391321,-0.948362702,0.93820312975
"4","0.95",0.90160364085,0.0374188028792641,0.82997919625,0.9711485445
"5","1.5",1.607917533,0.331100260287434,1.303376055,2.477982395
"6","6|7|6.5|5",5.9414074621,0.653370789404645,4.8312927625,7.191183345
"7","1.9",1.8914224294,0.0291844216703746,1.8332664875,1.9483756875
"8","-0.5",-0.53329951801,0.028693164018066,-0.5874558865,-0.47707062775
"9","-1.4",-1.3982161112,0.0299334224581211,-1.456737305,-1.3362159225
"10","0",0.002057913186379,0.0226429374750113,-0.041716665175,0.044379944175
"11","0",0.03648947745047,0.0226168327943979,-0.0077894702225,0.08328867375
"12","2494.48",2494.48,2494.48,2494.48,2494.48
