"","Actual","mean","sd","2.5%","97.5%"
"1","-0.5",0.00499094202364,0.235362321358895,-0.455455629,0.4488474495
"2","0.75",0.70949094537,0.00972099778300759,0.69159251575,0.728478476
"3","-0.85",-0.72507201053,0.0520704257109063,-0.81199760925,-0.61086130275
"4","0.95",0.86396485819,0.0145394474159466,0.83296268675,0.888977529
"5","1.5",1.3540868516,0.0179503548146177,1.3176091325,1.38920949
"6","6|7|6.5|5",5.4264323468,0.0281782051288519,5.371753265,5.48198658
"7","1.9",1.8998624093,0.0287941269036988,1.8436908,1.95759508
"8","-0.5",-0.52819919644,0.0291665598811105,-0.583425416,-0.47111444625
"9","-1.4",-1.4045582594,0.029368284759813,-1.4606374825,-1.3470961025
"10","0",0.004863335006552,0.0214380055609632,-0.036445327875,0.04713987135
"11","0",0.033766647705701,0.0228966823474554,-0.0076292752725,0.078350838125
"12","276.64",276.64,276.64,276.64,276.64
