"","Actual","mean","sd","2.5%","97.5%"
"1","0.5",0.38303563972074,0.229402658454329,0.01709660895,0.81868102925
"2","0.75",0.43129468472302,0.241368914076906,0.024981321025,0.844214902
"3","0.85",0.8882076832224,0.138547887088745,0.439220282,0.983304331
"4","0.95",0.856139375604,0.163876623104107,0.322768623,0.977753419
"5","1.2",1.29415819297,0.177962533435731,0.9559797235,1.64980842
"6","0.6|0.7|0.6|0.5",1.29026957667,0.243335995371168,0.80506647675,1.789458355
"7","1.9",2.2462308602,0.254712185725721,1.7817197825,2.7805540275
"8","-0.5",-0.43723806108,0.0994168807730489,-0.6472745355,-0.26105134175
"9","-1.4",-1.7035007175,0.194268663237108,-2.1122814325,-1.3572046425
"10","0",0.0062357866560267,0.0329509535436184,-0.059895667725,0.0710743078249999
"11","0",0.03549948615875,0.0491118870623525,-0.0326324204,0.16876035975
"12","28.4500000000007",28.4500000000007,28.4500000000007,28.4500000000007,28.4500000000007
