"","Actual","mean","sd","2.5%","97.5%"
"1",0.5,0.0689575617514,0.0612743052029831,0.00949200993,0.2364426295
"2",0.75,0.0734901710534,0.0704744777196386,0.0079718784675,0.277218705
"3",0.85,0.1068192369984,0.0952229328682006,0.0130764172,0.3595112765
"4",0.95,0.0868948328662,0.072679572248167,0.0097222886375,0.2783699385
"5",1.2,1.649592585,0.0325815323385688,1.5885084875,1.7167294375
"6",0.6,1.621345305,0.05307151323901,1.5170840175,1.72262986
"7",0.7,2.0236288288,0.0466527760535825,1.934041425,2.1183770925
"8",0.6,1.8425564799,0.0653417727782633,1.715268775,1.9692048725
"9",0.5,1.8931912258,0.0535666391448841,1.78815957,1.9962676575
"10",1.9,3.1306610416,0.0266569673319075,3.0800682925,3.180363925
"11",-0.5,-0.7783000965,0.0260812880967954,-0.828804914,-0.72675487
"12",-1.4,-2.3053152607,0.0276384907906497,-2.3613679325,-2.2524906675
"13",0,-0.002630788398975,0.0215636410747216,-0.04388175995,0.03916139135
"14",0,0.013789049848246,0.0216041708132203,-0.029509019025,0.0557695715
"15",63,63,63,63,63
