"","yhat_SN",""
"1",0,0
"2",2,2
"3",2,2
"4",2,2
"5",0,0
"6",0,0
"7",2,2
"8",0,1
"9",0,0
"10",2,2
"11",2,2
"12",2,2
"13",0,0
"14",2,2
"15",2,2
"16",2,2
"17",2,2
"18",2,2
"19",1,0
"20",0,0
"21",1,1
"22",2,2
"23",2,2
"24",2,2
"25",2,2
"26",2,2
"27",0,0
"28",1,2
"29",1,2
"30",1,0
"31",1,1
"32",0,0
"33",0,1
"34",1,0
"35",2,2
"36",0,0
"37",0,0
"38",2,2
"39",2,2
"40",0,0
"41",1,0
"42",0,1
"43",2,2
"44",2,2
"45",1,1
"46",2,2
"47",2,2
"48",0,0
"49",2,2
"50",0,0
"51",1,1
"52",0,0
"53",2,2
"54",0,0
"55",2,2
"56",2,2
"57",0,0
"58",0,0
"59",0,0
"60",2,2
"61",0,0
"62",0,0
"63",0,0
"64",2,2
"65",2,2
"66",0,0
"67",0,0
"68",0,0
"69",1,2
"70",2,2
"71",2,2
"72",2,2
"73",1,1
"74",1,1
"75",2,2
"76",2,2
"77",2,1
"78",1,1
"79",0,1
"80",2,2
"81",1,0
"82",2,1
"83",2,2
"84",2,2
"85",2,2
"86",2,2
"87",0,0
"88",0,0
"89",0,0
"90",2,2
"91",0,1
"92",2,2
"93",1,0
"94",2,2
"95",1,1
"96",1,0
"97",2,2
"98",2,2
"99",0,0
"100",1,0
"101",0,0
"102",0,0
"103",0,1
"104",2,1
"105",0,0
"106",2,2
"107",2,2
"108",2,2
"109",0,0
"110",2,1
"111",2,2
"112",2,2
"113",0,0
"114",0,1
"115",2,2
"116",0,0
"117",2,2
"118",2,1
"119",1,2
"120",2,2
"121",2,2
"122",1,1
"123",2,2
"124",2,2
"125",0,0
"126",0,0
"127",0,0
"128",2,2
"129",1,0
"130",2,2
"131",2,2
"132",2,2
"133",2,2
"134",0,0
"135",2,2
"136",0,0
"137",1,0
"138",0,0
"139",2,2
"140",2,1
"141",0,1
"142",0,0
"143",2,2
"144",1,1
"145",2,1
"146",0,0
"147",0,0
"148",0,0
"149",1,1
"150",2,2
"151",2,2
"152",2,2
"153",2,2
"154",2,2
"155",2,1
"156",0,0
"157",0,1
"158",2,2
"159",2,2
"160",0,0
"161",0,1
"162",2,2
"163",0,0
"164",0,0
"165",2,1
"166",0,0
"167",0,0
"168",2,2
"169",1,2
"170",0,0
"171",1,1
"172",2,2
"173",1,2
"174",0,0
"175",1,1
"176",2,2
"177",2,2
"178",1,0
"179",0,0
"180",1,1
"181",0,0
"182",1,1
"183",2,2
"184",1,2
"185",1,0
"186",1,2
"187",0,0
"188",1,1
"189",0,0
"190",1,0
"191",2,2
"192",1,0
"193",0,1
"194",2,2
"195",1,0
"196",2,1
"197",0,0
"198",2,2
"199",2,1
"200",1,1
"201",2,2
"202",2,2
"203",2,2
"204",0,0
"205",0,0
"206",2,2
"207",1,1
"208",2,2
"209",0,0
"210",2,2
"211",1,0
"212",2,2
"213",1,1
"214",2,2
"215",2,2
"216",0,0
"217",2,2
"218",0,0
"219",0,0
"220",0,0
"221",0,0
"222",2,2
"223",2,2
"224",0,0
"225",2,2
"226",1,0
"227",0,0
"228",2,2
"229",0,0
"230",2,2
"231",1,2
"232",2,2
"233",2,2
"234",2,2
"235",0,0
"236",0,0
"237",2,1
"238",2,2
"239",0,0
"240",0,0
"241",0,0
"242",0,0
"243",2,2
"244",0,1
"245",2,2
"246",2,2
"247",2,2
"248",2,2
"249",1,0
"250",2,2
"251",2,2
"252",0,0
"253",2,1
"254",0,0
"255",0,0
"256",1,0
"257",2,2
"258",1,1
"259",1,2
"260",2,2
"261",2,2
"262",1,1
"263",0,0
"264",0,0
"265",0,0
"266",0,0
"267",2,2
"268",2,2
"269",2,2
"270",2,2
"271",2,2
"272",2,2
"273",2,2
"274",2,2
"275",2,2
"276",2,2
"277",1,2
"278",0,0
"279",2,2
"280",0,0
"281",1,0
"282",0,0
"283",2,2
"284",2,2
"285",2,2
"286",1,2
"287",0,0
"288",0,0
"289",1,0
"290",2,2
"291",2,2
"292",0,0
"293",2,2
"294",2,2
"295",2,1
"296",2,1
"297",2,2
"298",0,0
"299",2,2
"300",1,0
"301",0,1
"302",0,0
"303",2,2
"304",2,2
"305",2,2
"306",0,1
"307",0,0
"308",2,2
"309",2,2
"310",2,2
"311",1,1
"312",2,2
"313",2,2
"314",0,0
"315",2,2
"316",2,2
"317",0,0
"318",2,2
"319",2,2
"320",0,0
"321",2,2
"322",2,1
"323",1,0
"324",2,2
"325",0,0
"326",0,0
"327",2,2
"328",2,2
"329",0,0
"330",2,1
"331",0,0
"332",2,2
"333",1,1
"334",0,0
"335",0,0
"336",2,2
"337",1,0
"338",2,2
"339",1,1
"340",1,1
"341",1,0
"342",2,2
"343",1,1
"344",2,2
"345",1,1
"346",2,2
"347",2,2
"348",0,0
"349",0,0
"350",0,0
"351",0,0
"352",2,2
"353",2,2
"354",0,0
"355",0,0
"356",2,2
"357",0,0
"358",2,2
"359",0,0
"360",2,2
"361",2,2
"362",2,2
"363",2,1
"364",2,2
"365",2,2
"366",2,2
"367",0,1
"368",0,0
"369",2,2
"370",0,0
"371",2,2
"372",2,2
"373",2,2
"374",1,2
"375",0,0
"376",1,0
"377",0,0
"378",2,2
"379",2,2
"380",2,2
"381",0,0
"382",0,0
"383",2,0
"384",0,0
"385",2,2
"386",1,1
"387",2,2
"388",0,0
"389",0,1
"390",1,2
"391",0,0
"392",1,2
"393",0,0
"394",2,1
"395",2,2
"396",0,0
"397",2,2
"398",0,0
"399",0,0
"400",1,1
"401",2,2
"402",2,2
"403",2,2
"404",0,0
"405",2,2
"406",1,1
"407",2,2
"408",0,1
"409",2,2
"410",0,0
"411",2,2
"412",2,2
"413",2,2
"414",0,0
"415",2,2
"416",0,0
"417",0,0
"418",2,2
"419",0,0
"420",0,0
"421",2,2
"422",0,0
"423",2,2
"424",2,2
"425",1,1
"426",2,2
"427",0,0
"428",0,0
"429",0,0
"430",2,2
"431",1,1
"432",0,0
"433",0,0
"434",0,0
"435",1,1
"436",2,2
"437",1,2
"438",2,2
"439",1,2
"440",2,2
"441",2,2
"442",2,2
"443",1,0
"444",2,1
"445",0,0
"446",0,0
"447",2,2
"448",2,2
"449",2,2
"450",2,2
"451",2,2
"452",2,2
"453",2,1
"454",0,0
"455",2,2
"456",0,1
"457",0,0
"458",2,2
"459",0,0
"460",2,2
"461",2,1
"462",2,1
"463",0,0
"464",2,2
"465",0,0
"466",0,0
"467",0,0
"468",1,1
"469",2,2
"470",2,2
"471",0,0
"472",0,1
"473",2,2
"474",2,2
"475",0,0
"476",2,1
"477",2,1
"478",2,2
"479",2,2
"480",2,1
"481",0,0
"482",2,2
"483",2,2
"484",2,2
"485",2,2
"486",2,2
"487",2,2
"488",0,0
"489",2,2
"490",0,0
"491",2,2
"492",2,2
"493",2,2
"494",1,2
"495",2,2
"496",0,0
"497",0,2
"498",1,0
"499",1,1
"500",1,0
"501",0,0
"502",2,2
"503",1,1
"504",0,0
"505",0,0
"506",2,2
"507",0,0
"508",1,1
"509",1,2
"510",2,2
"511",2,1
"512",0,1
"513",0,0
"514",0,0
"515",0,0
"516",0,0
"517",0,0
"518",2,2
"519",2,2
"520",0,0
"521",2,2
"522",0,1
"523",0,0
"524",2,2
"525",0,0
"526",1,0
"527",2,2
"528",2,2
"529",2,2
"530",0,0
"531",2,2
"532",2,2
"533",0,0
"534",2,2
"535",0,0
"536",2,2
"537",2,2
"538",2,2
"539",1,2
"540",1,0
"541",0,0
"542",2,2
"543",0,0
"544",0,0
"545",0,0
"546",2,2
"547",2,2
"548",0,0
"549",0,0
"550",2,2
"551",2,2
"552",2,2
"553",2,2
"554",2,2
"555",0,0
"556",2,2
"557",1,1
"558",0,0
"559",1,0
"560",0,0
"561",0,0
"562",2,2
"563",1,0
"564",2,2
"565",1,1
"566",2,2
"567",2,2
"568",1,1
"569",2,2
"570",0,0
"571",0,0
"572",2,2
"573",2,2
"574",0,0
"575",0,0
"576",1,1
"577",2,2
"578",2,2
"579",2,2
"580",2,1
"581",0,0
"582",1,1
"583",1,0
"584",0,0
"585",2,2
"586",2,2
"587",1,1
"588",2,2
"589",1,1
"590",2,1
"591",2,2
"592",2,2
"593",0,0
"594",1,0
"595",2,1
"596",0,0
"597",2,2
"598",0,1
"599",0,0
"600",2,2
"601",1,0
"602",2,2
"603",0,0
"604",0,2
"605",2,2
"606",1,1
"607",1,1
"608",2,1
"609",2,2
"610",1,1
"611",2,2
"612",2,1
"613",0,0
"614",1,2
"615",2,2
"616",1,0
"617",1,1
"618",1,0
"619",2,2
"620",2,2
"621",1,2
"622",2,2
"623",0,0
"624",0,0
"625",2,1
"626",2,2
"627",2,2
"628",2,2
"629",1,0
"630",0,0
"631",2,2
"632",0,0
"633",2,2
"634",0,0
"635",2,2
"636",1,1
"637",2,2
"638",2,2
"639",2,2
"640",0,0
"641",1,0
"642",0,0
"643",2,2
"644",2,2
"645",1,1
"646",1,0
"647",2,2
"648",0,1
"649",0,0
"650",1,1
"651",2,2
"652",0,0
"653",0,0
"654",1,0
"655",1,1
"656",0,1
"657",0,0
"658",2,2
"659",0,0
"660",1,2
"661",2,2
"662",2,2
"663",2,2
"664",2,2
"665",1,1
"666",2,2
"667",2,2
"668",2,2
"669",2,2
"670",0,0
"671",2,2
"672",2,1
