"","yhat_SN",""
"1",0,0
"2",1,1
"3",2,2
"4",2,2
"5",0,0
"6",0,0
"7",2,2
"8",0,1
"9",0,0
"10",2,2
"11",1,2
"12",2,1
"13",0,0
"14",2,2
"15",1,1
"16",2,2
"17",2,2
"18",2,2
"19",2,1
"20",2,2
"21",0,0
"22",0,0
"23",0,0
"24",2,2
"25",2,1
"26",0,0
"27",2,2
"28",2,2
"29",1,2
"30",2,1
"31",2,2
"32",0,1
"33",0,0
"34",0,1
"35",1,2
"36",0,0
"37",0,1
"38",0,0
"39",0,1
"40",1,1
"41",0,0
"42",2,2
"43",0,0
"44",0,0
"45",2,2
"46",0,0
"47",2,2
"48",2,2
"49",0,0
"50",0,0
"51",0,0
"52",2,2
"53",2,2
"54",1,0
"55",2,2
"56",0,1
"57",2,2
"58",2,2
"59",0,0
"60",2,2
"61",0,0
"62",0,1
"63",0,0
"64",1,1
"65",0,0
"66",2,2
"67",0,0
"68",2,2
"69",0,0
"70",0,0
"71",0,0
"72",1,1
"73",0,0
"74",0,0
"75",0,0
"76",1,0
"77",1,2
"78",2,2
"79",0,0
"80",0,0
"81",2,2
"82",0,0
"83",0,2
"84",2,2
"85",2,1
"86",2,2
"87",0,0
"88",1,1
"89",2,2
"90",2,2
"91",0,0
"92",0,0
"93",1,1
"94",1,0
"95",0,0
"96",1,2
"97",0,0
"98",1,2
"99",0,0
"100",2,1
"101",2,2
"102",2,2
"103",2,2
"104",2,2
"105",0,0
"106",0,0
"107",2,2
"108",0,0
"109",1,0
"110",0,0
"111",2,2
"112",0,0
"113",2,2
"114",0,0
"115",2,2
"116",1,0
"117",0,1
"118",1,0
"119",2,2
"120",1,1
"121",0,0
"122",0,1
"123",0,0
"124",0,0
"125",0,0
"126",0,0
"127",0,0
"128",1,0
"129",0,0
"130",2,2
"131",2,1
"132",0,0
"133",2,2
"134",0,0
"135",1,1
"136",1,1
"137",2,1
"138",0,0
"139",0,0
"140",1,2
"141",1,1
"142",0,0
"143",2,2
"144",1,0
"145",1,1
"146",1,1
"147",0,1
"148",0,1
"149",2,2
"150",1,1
"151",0,0
"152",2,2
"153",0,0
"154",2,2
"155",2,2
"156",2,2
"157",0,0
"158",0,0
"159",0,0
"160",0,0
"161",2,2
"162",0,1
"163",0,0
"164",2,2
"165",1,0
"166",2,1
"167",2,2
"168",2,2
"169",2,1
"170",0,0
"171",2,2
"172",0,1
"173",0,0
"174",0,0
"175",0,0
"176",2,2
"177",1,1
"178",0,0
"179",0,0
"180",2,1
"181",1,2
"182",0,0
"183",0,1
"184",1,1
"185",0,0
"186",2,2
"187",0,0
"188",0,0
"189",1,1
"190",1,2
"191",2,2
"192",2,2
"193",0,0
"194",2,2
"195",2,2
"196",0,0
"197",0,0
"198",1,2
"199",1,2
"200",2,1
"201",0,0
"202",0,0
"203",2,2
"204",2,2
"205",0,0
"206",0,0
"207",2,2
"208",0,0
"209",0,0
"210",1,1
"211",0,0
"212",0,0
"213",2,2
"214",1,1
"215",0,0
"216",1,1
"217",1,2
"218",0,2
"219",0,0
"220",0,0
"221",1,1
"222",1,1
"223",1,2
"224",0,0
"225",0,0
"226",1,0
"227",0,0
"228",1,0
"229",2,2
"230",0,2
"231",0,0
"232",1,1
"233",0,0
"234",0,1
"235",0,0
"236",0,0
"237",2,2
"238",0,0
"239",0,0
"240",2,2
"241",0,0
"242",0,0
"243",2,1
"244",0,0
"245",2,2
"246",0,0
"247",2,1
"248",0,0
"249",1,2
"250",2,2
"251",2,2
"252",2,1
"253",0,0
"254",0,0
"255",2,2
"256",0,1
"257",2,2
"258",2,2
"259",0,0
"260",2,2
"261",0,0
"262",2,2
"263",2,2
"264",0,0
"265",2,2
"266",2,2
"267",0,0
"268",2,2
"269",2,2
"270",0,0
"271",0,0
"272",0,0
"273",2,2
"274",0,0
"275",2,2
"276",2,2
"277",2,2
"278",0,0
"279",0,0
"280",2,2
"281",1,2
"282",0,0
"283",0,0
"284",2,2
"285",0,0
"286",2,2
"287",0,1
"288",2,2
"289",2,2
"290",1,2
"291",0,0
"292",0,0
"293",2,0
"294",2,2
"295",0,0
"296",0,0
"297",0,0
"298",0,0
"299",0,1
"300",0,0
"301",1,2
"302",0,0
"303",2,1
"304",2,2
"305",2,1
"306",2,1
"307",0,0
"308",2,2
"309",1,1
"310",0,0
"311",0,1
"312",1,1
"313",0,0
"314",0,0
"315",0,0
"316",2,2
"317",1,1
"318",1,1
"319",2,1
"320",2,2
"321",0,0
"322",0,0
"323",0,0
"324",2,2
"325",0,0
"326",0,0
"327",0,0
"328",2,2
"329",2,2
"330",2,2
"331",2,2
"332",2,2
"333",2,2
"334",1,2
"335",2,2
"336",2,2
"337",2,2
"338",1,1
"339",0,0
"340",2,2
"341",0,0
"342",1,0
"343",0,0
"344",2,1
"345",1,2
"346",2,2
"347",0,1
"348",0,0
"349",0,0
"350",0,0
"351",0,0
"352",2,1
"353",1,2
"354",0,0
"355",2,2
"356",1,2
"357",2,2
"358",1,0
"359",2,1
"360",2,2
"361",0,0
"362",1,0
"363",2,1
"364",0,0
"365",0,1
"366",0,0
"367",0,0
"368",2,2
"369",2,2
"370",1,2
"371",2,2
"372",0,0
"373",0,0
"374",2,2
"375",1,1
"376",2,2
"377",0,0
"378",2,2
"379",2,2
"380",0,0
"381",0,2
"382",0,0
"383",1,1
"384",2,2
"385",0,0
"386",2,2
"387",2,2
"388",0,0
"389",1,2
"390",2,2
"391",0,0
"392",1,1
"393",0,0
"394",2,2
"395",0,0
"396",0,0
"397",2,2
"398",2,2
"399",0,0
"400",1,0
"401",0,0
"402",2,2
"403",2,2
"404",1,1
"405",0,0
"406",0,0
"407",0,0
"408",0,0
"409",2,2
"410",0,0
"411",0,0
"412",2,1
"413",0,0
"414",0,0
"415",0,0
"416",0,0
"417",1,2
"418",0,0
"419",2,2
"420",0,0
"421",2,2
"422",1,2
"423",0,0
"424",0,0
"425",0,0
"426",1,1
"427",0,0
"428",2,2
"429",0,1
"430",2,2
"431",0,0
"432",0,0
"433",0,0
"434",2,2
"435",0,0
"436",0,0
"437",1,2
"438",0,0
"439",2,2
"440",2,2
"441",1,2
"442",2,2
"443",2,2
"444",1,0
"445",2,2
"446",2,2
"447",2,2
"448",0,1
"449",0,0
"450",0,0
"451",2,2
"452",2,2
"453",0,0
"454",2,2
"455",2,1
"456",2,2
"457",0,1
"458",0,0
"459",0,0
"460",0,0
"461",0,0
"462",2,2
"463",2,2
"464",2,2
"465",0,0
"466",0,0
"467",1,0
"468",0,0
"469",2,2
"470",0,0
"471",2,2
"472",2,2
"473",0,0
"474",0,0
"475",0,0
"476",1,2
"477",0,0
"478",1,1
"479",1,1
"480",0,0
"481",1,1
"482",2,2
"483",2,2
"484",0,0
"485",0,1
"486",2,2
"487",0,0
"488",0,0
"489",0,0
"490",0,1
"491",2,1
"492",0,0
"493",2,2
"494",0,0
"495",2,2
"496",0,0
"497",2,2
"498",1,1
"499",2,2
"500",0,1
"501",2,2
"502",0,0
"503",0,0
"504",0,0
"505",1,2
"506",2,2
"507",1,2
"508",0,0
"509",1,1
"510",0,0
"511",0,0
"512",2,2
"513",0,0
"514",0,0
"515",2,2
"516",2,2
"517",0,0
"518",0,0
"519",2,2
"520",2,1
"521",2,2
"522",1,1
"523",0,1
"524",2,2
"525",0,0
"526",0,0
"527",2,2
"528",0,0
"529",0,0
"530",2,2
"531",0,0
"532",2,2
"533",0,1
"534",0,0
"535",0,0
"536",0,0
"537",0,1
"538",2,2
"539",0,0
"540",0,1
"541",2,2
"542",0,1
"543",1,1
"544",0,1
"545",2,2
"546",0,0
"547",2,2
"548",1,2
"549",0,0
"550",2,2
"551",1,1
"552",2,2
"553",1,0
"554",0,0
"555",0,0
"556",0,0
"557",2,2
"558",2,2
"559",2,2
"560",2,2
"561",1,2
"562",2,2
"563",2,2
"564",2,2
"565",1,0
"566",0,0
"567",1,1
"568",0,0
"569",0,0
"570",2,2
"571",0,0
"572",2,2
"573",1,1
"574",1,0
"575",0,0
"576",2,2
"577",2,2
"578",0,0
"579",0,0
"580",1,1
"581",0,0
