"","yhat_SN",""
"1",0,0
"2",2,2
"3",2,2
"4",2,2
"5",0,0
"6",0,0
"7",2,2
"8",0,1
"9",0,0
"10",2,2
"11",2,2
"12",2,2
"13",0,0
"14",2,2
"15",2,1
"16",2,2
"17",2,2
"18",2,2
"19",2,2
"20",2,2
"21",1,0
"22",0,0
"23",1,1
"24",2,2
"25",2,2
"26",0,0
"27",2,2
"28",2,2
"29",2,2
"30",2,2
"31",2,2
"32",1,2
"33",0,0
"34",1,2
"35",2,2
"36",1,0
"37",2,1
"38",0,0
"39",0,1
"40",2,1
"41",1,0
"42",2,2
"43",1,0
"44",0,0
"45",2,2
"46",0,0
"47",2,2
"48",2,2
"49",0,0
"50",1,0
"51",0,1
"52",2,2
"53",2,2
"54",2,1
"55",2,2
"56",1,1
"57",2,2
"58",2,2
"59",0,0
"60",2,2
"61",0,0
"62",1,1
"63",0,0
"64",2,2
"65",0,0
"66",2,2
"67",1,0
"68",2,2
"69",0,0
"70",0,0
"71",0,0
"72",2,2
"73",0,0
"74",0,0
"75",0,0
"76",2,1
"77",2,2
"78",2,2
"79",0,0
"80",0,0
"81",2,2
"82",0,0
"83",1,2
"84",2,2
"85",2,2
"86",2,2
"87",2,1
"88",2,1
"89",2,2
"90",2,2
"91",0,0
"92",0,0
"93",2,1
"94",1,1
"95",0,0
"96",2,2
"97",0,1
"98",2,2
"99",0,0
"100",2,1
"101",2,2
"102",2,2
"103",2,2
"104",2,2
"105",0,0
"106",0,1
"107",2,2
"108",0,0
"109",2,0
"110",0,0
"111",2,2
"112",0,1
"113",2,2
"114",1,0
"115",2,2
"116",1,1
"117",1,1
"118",2,0
"119",2,2
"120",2,2
"121",0,0
"122",1,2
"123",0,0
"124",0,0
"125",0,0
"126",0,0
"127",0,1
"128",2,1
"129",0,0
"130",2,2
"131",2,2
"132",0,0
"133",2,2
"134",0,0
"135",2,1
"136",2,2
"137",2,2
"138",0,0
"139",0,1
"140",2,2
"141",2,2
"142",0,0
"143",2,2
"144",2,1
"145",2,2
"146",1,2
"147",0,2
"148",0,2
"149",2,2
"150",2,2
"151",0,0
"152",2,2
"153",1,1
"154",2,2
"155",2,2
"156",2,2
"157",0,0
"158",0,0
"159",1,1
"160",0,0
"161",2,2
"162",1,2
"163",1,0
"164",2,2
"165",2,1
"166",2,2
"167",2,2
"168",2,2
"169",2,2
"170",0,0
"171",2,2
"172",1,1
"173",0,0
"174",1,0
"175",0,0
"176",2,2
"177",2,1
"178",0,1
"179",0,0
"180",2,2
"181",2,2
"182",0,0
"183",1,1
"184",2,1
"185",0,0
"186",2,2
"187",0,0
"188",0,0
"189",1,1
"190",2,2
"191",2,2
"192",2,2
"193",0,0
"194",2,2
"195",2,2
"196",1,1
"197",1,1
"198",2,2
"199",2,2
"200",2,1
"201",0,0
"202",0,1
"203",2,2
"204",2,2
"205",0,0
"206",0,1
"207",2,2
"208",0,0
"209",0,0
"210",2,1
"211",0,0
"212",0,0
"213",2,2
"214",1,2
"215",0,0
"216",2,1
"217",2,2
"218",0,2
"219",0,0
"220",1,1
"221",2,1
"222",2,2
"223",2,2
"224",1,0
"225",0,0
"226",1,1
"227",0,0
"228",2,1
"229",2,2
"230",1,2
"231",1,0
"232",2,2
"233",0,0
"234",0,1
"235",0,0
"236",0,0
"237",2,2
"238",1,0
"239",0,1
"240",2,2
"241",0,0
"242",1,0
"243",2,1
"244",0,0
"245",2,2
"246",0,0
"247",2,1
"248",1,1
"249",2,2
"250",2,2
"251",2,2
"252",2,2
"253",0,0
"254",0,0
"255",2,2
"256",0,1
"257",2,2
"258",2,2
"259",0,0
"260",2,2
"261",1,0
"262",2,2
"263",2,2
"264",0,1
"265",2,2
"266",2,2
"267",0,0
"268",2,2
"269",2,2
"270",0,0
"271",0,0
"272",0,0
"273",2,2
"274",0,0
"275",2,2
"276",2,2
"277",2,2
"278",0,0
"279",0,0
"280",2,2
"281",2,2
"282",1,0
"283",0,0
"284",2,2
"285",0,0
"286",2,2
"287",1,2
"288",2,2
"289",2,2
"290",2,2
"291",0,0
"292",0,0
"293",2,1
"294",2,2
"295",0,0
"296",0,0
"297",0,0
"298",1,1
"299",2,1
"300",0,0
"301",2,2
"302",0,1
"303",2,2
"304",2,2
"305",2,2
"306",2,2
"307",1,0
"308",2,2
"309",2,2
"310",0,0
"311",1,1
"312",2,1
"313",0,0
"314",0,0
"315",1,0
"316",2,2
"317",1,1
"318",2,2
"319",2,2
"320",2,2
"321",1,1
"322",1,1
"323",0,0
"324",2,2
"325",0,0
"326",0,0
"327",0,0
"328",2,2
"329",2,2
"330",2,2
"331",2,2
"332",2,2
"333",2,2
"334",2,2
"335",2,2
"336",2,2
"337",2,2
"338",1,2
"339",0,0
"340",2,2
"341",0,0
"342",2,0
"343",0,0
"344",2,2
"345",2,2
"346",2,2
"347",1,2
"348",0,0
"349",0,0
"350",0,0
"351",1,0
"352",2,2
"353",2,2
"354",0,0
"355",2,2
"356",2,2
"357",2,2
"358",2,1
"359",2,1
"360",2,2
"361",0,0
"362",2,1
"363",2,2
"364",0,0
"365",0,1
"366",0,0
"367",0,0
"368",2,2
"369",2,2
"370",2,2
"371",2,2
"372",0,1
"373",0,0
"374",2,2
"375",2,2
"376",2,2
"377",1,1
"378",2,2
"379",2,2
"380",0,1
"381",0,2
"382",0,0
"383",2,2
"384",2,2
"385",0,0
"386",2,2
"387",2,2
"388",0,0
"389",2,2
"390",2,2
"391",0,0
"392",2,1
"393",0,0
"394",2,2
"395",0,0
"396",0,0
"397",2,2
"398",2,2
"399",0,0
"400",2,1
"401",0,0
"402",2,2
"403",2,2
"404",2,1
"405",1,1
"406",0,0
"407",0,0
"408",0,0
"409",2,2
"410",0,0
"411",1,0
"412",2,2
"413",1,1
"414",1,1
"415",1,0
"416",0,0
"417",2,2
"418",1,1
"419",2,2
"420",0,1
"421",2,2
"422",2,2
"423",0,0
"424",0,0
"425",0,0
"426",2,2
"427",0,0
"428",2,2
"429",1,1
"430",2,2
"431",0,0
"432",0,0
"433",0,0
"434",2,2
"435",0,0
"436",0,1
"437",2,2
"438",0,0
"439",2,2
"440",2,2
"441",2,2
"442",2,2
"443",2,2
"444",2,1
"445",2,2
"446",2,2
"447",2,2
"448",0,1
"449",0,1
"450",0,0
"451",2,2
"452",2,2
"453",0,0
"454",2,2
"455",2,2
"456",2,2
"457",1,2
"458",0,1
"459",0,0
"460",1,0
"461",0,0
"462",2,2
"463",2,2
"464",2,2
"465",0,0
"466",0,0
"467",2,0
"468",0,0
"469",2,2
"470",1,1
"471",2,2
"472",2,2
"473",0,0
"474",0,0
"475",0,1
"476",2,2
"477",0,0
"478",1,2
"479",1,2
"480",0,0
"481",2,1
"482",2,2
"483",2,2
"484",0,0
"485",1,1
"486",2,2
"487",0,0
"488",0,0
"489",0,0
"490",1,1
"491",2,2
"492",0,0
"493",2,2
"494",0,0
"495",2,2
"496",0,0
"497",2,2
"498",1,1
"499",2,2
"500",0,1
"501",2,2
"502",0,0
"503",0,0
"504",0,0
"505",2,2
"506",2,2
"507",2,2
"508",0,0
"509",2,2
"510",0,0
"511",0,0
"512",2,2
"513",0,0
"514",0,0
"515",2,2
"516",2,2
"517",0,0
"518",0,0
"519",2,2
"520",2,2
"521",2,2
"522",2,2
"523",1,1
"524",2,2
"525",0,0
"526",0,0
"527",2,2
"528",0,0
"529",0,0
"530",2,2
"531",0,0
"532",2,2
"533",1,1
"534",0,0
"535",0,0
"536",0,0
"537",1,1
"538",2,2
"539",0,0
"540",1,2
"541",2,2
"542",0,1
"543",1,1
"544",1,2
"545",2,2
"546",0,0
"547",2,2
"548",2,2
"549",0,0
"550",2,2
"551",2,2
"552",2,2
"553",2,1
"554",0,0
"555",0,0
"556",0,0
"557",2,2
"558",2,2
"559",2,2
"560",2,2
"561",2,2
"562",2,2
"563",2,2
"564",2,2
"565",2,1
"566",0,0
"567",2,2
"568",0,1
"569",0,0
"570",2,2
"571",0,0
"572",2,2
"573",2,1
"574",2,1
"575",0,0
"576",2,2
"577",2,2
"578",0,0
"579",0,0
"580",1,1
"581",0,0
"582",1,1
"583",2,2
"584",2,2
"585",2,2
"586",2,1
"587",0,0
"588",0,1
"589",2,2
"590",2,2
"591",2,2
"592",0,0
"593",2,1
"594",1,2
"595",2,1
"596",0,0
"597",2,2
"598",2,2
"599",2,1
"600",0,0
"601",2,2
"602",2,2
"603",2,2
"604",2,2
"605",2,2
"606",2,2
"607",0,0
"608",2,2
"609",0,0
"610",2,2
"611",2,2
"612",2,2
"613",1,2
"614",2,2
"615",0,0
"616",0,2
"617",1,0
"618",1,1
"619",0,0
"620",0,0
"621",1,1
"622",0,0
"623",2,2
"624",2,1
"625",0,0
"626",0,0
"627",0,0
"628",2,2
"629",0,0
"630",1,1
"631",1,2
"632",2,2
"633",2,1
"634",2,0
"635",0,1
"636",0,0
"637",0,0
"638",0,0
"639",0,0
"640",0,0
"641",2,2
"642",2,2
"643",0,0
"644",2,2
"645",0,1
"646",0,0
"647",2,2
"648",2,2
"649",0,0
"650",0,0
"651",1,0
"652",2,2
"653",2,2
"654",0,0
"655",2,2
"656",2,2
"657",0,1
"658",0,0
"659",2,2
"660",2,2
"661",2,2
"662",0,0
"663",2,2
"664",0,0
"665",0,0
"666",2,2
"667",2,2
"668",2,2
"669",0,0
"670",2,2
"671",0,2
"672",2,0
