"","Actual","mean","sd","2.5%","97.5%"
"1","-0.5",0.7131932663,0.0285414851445688,0.65314724525,0.7678664025
"2","0.75",-0.7518964073,0.0194026709117738,-0.78818401025,-0.71115558625
"3","-0.85",0.80384157814,0.0223913854483211,0.75651861125,0.84325074
"4","0.95",-0.87864226142,0.0119353777472885,-0.900205724,-0.8533843215
"5","1.2",1.3025341511,0.024879822176075,1.253776695,1.3514230125
"6","0.6|0.7|0.6|0.5",0.7444512248,0.0201377142940345,0.7064636195,0.78298466875
"7","1.9",2.2355618913,0.0194674238026161,2.1970420125,2.272613825
"8","-0.5",-0.60160108915,0.0202554937349011,-0.64224923225,-0.56213049025
"9","-1.4",-1.6740300282,0.0197350690520924,-1.7123913325,-1.6372434925
"10","0",0.00129928432127,0.0174843674838704,-0.032370155825,0.03721280955
"11","0",0.0076721579220089,0.0169086607643379,-0.02476576895,0.0411042616
"12","428.53",428.53,428.53,428.53,428.53
