"","Actual","mean","sd","2.5%","97.5%"
"1","0.5",0.227895825806,0.0597165210811433,0.12780481125,0.365141098
"2","0.75",0.0710205902153,0.0584806322687645,0.00939626207,0.227319833
"3","0.85",0.1168873242367,0.0976262983417637,0.0148569145,0.38734987675
"4","0.95",0.0800536588362,0.0737733572304035,0.009226103405,0.28952133775
"5","0.6-0.7-0.6-0.5",3.0231831647,0.026513259017587,2.973051725,3.07347256
"6","1.9",4.6227095136,0.0257194956884252,4.5721597525,4.6737360225
"7","-0.5",-1.1285985154,0.0273881017817301,-1.181151805,-1.07522586
"8","-1.4",-3.4349884889,0.0278313327440041,-3.48773081,-3.381961065
"9","0",-0.0047292019228831,0.0204463069281564,-0.043805720775,0.036064519375
"10","0",0.0138753721734,0.0213001571220294,-0.02695870105,0.057373599425
"11","90.7100000000009",90.7100000000009,90.7100000000009,90.7100000000009,90.7100000000009
