"","yhat_SN",""
"1",0,0
"2",1,1
"3",1,1
"4",1,1
"5",0,0
"6",0,0
"7",1,1
"8",0,1
"9",0,0
"10",1,1
"11",1,1
"12",1,1
"13",0,0
"14",1,1
"15",1,1
"16",1,1
"17",1,1
"18",1,1
"19",1,0
"20",0,0
"21",1,1
"22",1,1
"23",1,1
"24",1,1
"25",1,1
"26",1,1
"27",0,0
"28",1,1
"29",1,1
"30",1,0
"31",1,1
"32",0,0
"33",0,1
"34",1,0
"35",1,1
"36",0,0
"37",0,0
"38",1,1
"39",1,1
"40",0,0
"41",1,0
"42",0,1
"43",1,1
"44",1,1
"45",1,1
"46",1,1
"47",1,1
"48",0,0
"49",1,1
"50",0,0
"51",1,1
"52",0,0
"53",1,1
"54",0,0
"55",1,1
"56",1,1
"57",0,0
"58",0,0
"59",0,0
"60",1,1
"61",0,0
"62",0,0
"63",0,0
"64",1,1
"65",1,1
"66",0,0
"67",0,0
"68",0,0
"69",1,1
"70",1,1
"71",1,1
"72",1,1
"73",1,1
"74",1,1
"75",1,1
"76",1,1
"77",1,1
"78",1,1
"79",0,1
"80",1,1
"81",0,0
"82",1,1
"83",1,1
"84",1,1
"85",1,1
"86",1,1
"87",0,0
"88",0,0
"89",0,0
"90",1,1
"91",0,1
"92",1,1
"93",1,0
"94",1,1
"95",1,1
"96",1,0
"97",1,1
"98",1,1
"99",0,0
"100",1,0
"101",0,0
"102",0,0
"103",0,1
"104",1,1
"105",0,0
"106",1,1
"107",1,1
"108",1,1
"109",0,0
"110",1,1
"111",1,1
"112",1,1
"113",0,0
"114",0,1
"115",1,1
"116",0,0
"117",1,1
"118",1,1
"119",1,1
"120",1,1
"121",1,1
"122",1,1
"123",1,1
"124",1,1
"125",0,0
"126",0,0
"127",0,0
"128",1,1
"129",1,0
"130",1,1
"131",1,1
"132",1,1
"133",1,1
"134",0,0
"135",1,1
"136",0,0
"137",1,0
"138",0,0
"139",1,1
"140",1,1
"141",0,1
"142",0,0
"143",1,1
"144",1,1
"145",1,1
"146",0,0
"147",0,0
"148",0,0
"149",1,1
"150",1,1
"151",1,1
"152",1,1
"153",1,1
"154",1,1
"155",1,1
"156",0,0
"157",0,1
"158",1,1
"159",1,1
"160",0,0
"161",0,1
"162",1,1
"163",0,0
"164",0,0
"165",1,1
"166",0,0
"167",0,0
"168",1,1
"169",1,1
"170",0,0
"171",1,1
"172",1,1
"173",0,1
"174",0,0
"175",1,1
"176",1,1
"177",1,1
"178",1,0
"179",0,0
"180",1,1
"181",0,0
"182",1,1
"183",1,1
"184",1,1
"185",1,0
"186",1,1
"187",0,0
"188",0,1
"189",0,0
"190",0,0
"191",1,1
"192",1,0
"193",0,1
"194",1,1
"195",1,0
"196",1,1
"197",0,0
"198",1,1
"199",1,1
"200",1,1
"201",1,1
"202",1,1
"203",1,1
"204",0,0
"205",0,0
"206",1,1
"207",0,1
"208",1,1
"209",0,0
"210",1,1
"211",1,0
"212",1,1
"213",1,1
"214",1,1
"215",1,1
"216",0,0
"217",1,1
"218",0,0
"219",0,0
"220",0,0
"221",0,0
"222",1,1
"223",1,1
"224",0,0
"225",1,1
"226",1,0
"227",0,0
"228",1,1
"229",0,0
"230",1,1
"231",1,1
"232",1,1
"233",1,1
"234",1,1
"235",0,0
"236",0,0
"237",1,1
"238",1,1
"239",0,0
"240",0,0
"241",0,0
"242",0,0
"243",1,1
"244",0,1
"245",1,1
"246",1,1
"247",1,1
"248",1,1
"249",1,0
"250",1,1
"251",1,1
"252",0,0
"253",1,1
"254",0,0
"255",0,0
"256",1,0
"257",1,1
"258",1,1
"259",1,1
"260",1,1
"261",1,1
"262",1,1
"263",0,0
"264",0,0
"265",0,0
"266",0,0
"267",1,1
"268",1,1
"269",1,1
"270",1,1
"271",1,1
"272",1,1
"273",1,1
"274",1,1
"275",1,1
"276",1,1
"277",1,1
"278",0,0
"279",1,1
"280",0,0
"281",1,0
"282",0,0
"283",1,1
"284",1,1
"285",1,1
"286",1,1
"287",0,0
"288",0,0
"289",1,0
"290",1,1
"291",1,1
"292",0,0
"293",1,1
"294",1,1
"295",1,1
"296",1,1
"297",1,1
"298",0,0
"299",1,1
"300",0,0
"301",0,1
"302",0,0
"303",1,1
"304",1,1
"305",1,1
"306",0,1
"307",0,0
"308",1,1
"309",1,1
"310",1,1
"311",1,1
"312",1,1
"313",1,1
"314",0,0
"315",1,1
"316",1,1
"317",0,0
"318",1,1
"319",1,1
"320",0,0
"321",1,1
"322",1,1
"323",0,0
"324",1,1
"325",0,0
"326",0,0
"327",1,1
"328",1,1
"329",0,0
"330",1,1
"331",0,0
"332",1,1
"333",1,1
"334",0,0
"335",0,0
"336",1,1
"337",1,0
"338",1,1
"339",1,1
"340",1,1
"341",1,0
"342",1,1
"343",1,1
"344",1,1
"345",0,1
"346",1,1
"347",1,1
"348",0,0
"349",0,0
"350",0,0
"351",0,0
"352",1,1
"353",1,1
"354",0,0
"355",0,0
"356",1,1
"357",0,0
"358",1,1
"359",0,0
"360",1,1
"361",1,1
"362",1,1
"363",1,1
"364",1,1
"365",1,1
"366",1,1
"367",0,1
"368",0,0
"369",1,1
"370",0,0
"371",1,1
"372",1,1
"373",1,1
"374",1,1
"375",0,0
"376",1,0
"377",0,0
"378",1,1
"379",1,1
"380",1,1
"381",0,0
"382",0,0
"383",1,0
"384",0,0
"385",1,1
"386",1,1
"387",1,1
"388",0,0
"389",0,1
"390",1,1
"391",0,0
"392",1,1
"393",0,0
"394",1,1
"395",1,1
"396",0,0
"397",1,1
"398",0,0
"399",0,0
"400",1,1
"401",1,1
"402",1,1
"403",1,1
"404",0,0
"405",1,1
"406",1,1
"407",1,1
"408",0,1
"409",1,1
"410",0,0
"411",1,1
"412",1,1
"413",1,1
"414",0,0
"415",1,1
"416",0,0
"417",0,0
"418",1,1
"419",0,0
"420",0,0
"421",1,1
"422",0,0
"423",1,1
"424",1,1
"425",1,1
"426",1,1
"427",0,0
"428",0,0
"429",0,0
"430",1,1
"431",1,1
"432",0,0
"433",0,0
"434",0,0
"435",1,1
"436",1,1
"437",1,1
"438",1,1
"439",1,1
"440",1,1
"441",1,1
"442",1,1
"443",1,0
"444",1,1
"445",0,0
"446",0,0
"447",1,1
"448",1,1
"449",1,1
"450",1,1
"451",1,1
"452",1,1
"453",1,1
"454",0,0
"455",1,1
"456",0,1
"457",0,0
"458",1,1
"459",0,0
"460",1,1
"461",1,1
"462",1,1
"463",0,0
"464",1,1
"465",0,0
"466",0,0
"467",0,0
"468",1,1
"469",1,1
"470",1,1
"471",0,0
"472",0,1
"473",1,1
"474",1,1
"475",0,0
"476",1,1
"477",1,1
"478",1,1
"479",1,1
"480",1,1
"481",0,0
"482",1,1
"483",1,1
"484",1,1
"485",1,1
"486",1,1
"487",1,1
"488",0,0
"489",1,1
"490",0,0
"491",1,1
"492",1,1
"493",1,1
"494",1,1
"495",1,1
"496",0,0
"497",0,1
"498",1,0
"499",1,1
"500",1,0
"501",0,0
"502",1,1
"503",1,1
"504",0,0
"505",0,0
"506",1,1
"507",0,0
"508",1,1
"509",1,1
"510",1,1
"511",1,1
"512",0,1
"513",0,0
"514",0,0
"515",0,0
"516",0,0
"517",0,0
"518",1,1
"519",1,1
"520",0,0
"521",1,1
"522",0,1
"523",0,0
"524",1,1
"525",0,0
"526",1,0
"527",1,1
"528",1,1
"529",1,1
"530",0,0
"531",1,1
"532",1,1
"533",0,0
"534",1,1
"535",0,0
"536",1,1
"537",1,1
"538",1,1
"539",1,1
"540",1,0
"541",0,0
"542",1,1
"543",0,0
"544",0,0
"545",0,0
"546",1,1
"547",1,1
"548",0,0
"549",0,0
"550",1,1
"551",1,1
"552",1,1
"553",1,1
"554",1,1
"555",0,0
"556",1,1
"557",1,1
"558",0,0
"559",1,0
"560",0,0
"561",0,0
"562",1,1
"563",1,0
"564",1,1
"565",1,1
"566",1,1
"567",1,1
"568",1,1
"569",1,1
"570",0,0
"571",0,0
"572",1,1
"573",1,1
"574",0,0
"575",0,0
"576",1,1
"577",1,1
"578",1,1
"579",1,1
"580",1,1
"581",0,0
