"","Actual","mean","sd","2.5%","97.5%"
"1",0.5,0.58153213032,0.160885111718021,0.2575551205,0.8634358315
"2",0.75,0.731439624,0.13414090491043,0.37346953825,0.90402548225
"3",0.85,0.72461193882,0.145430592809726,0.38915321625,0.92527487525
"4",0.95,0.86383318031,0.0782643417872759,0.63992932975,0.957286551
"5",1.9,2.0164262964,0.184346364392044,1.6016917125,2.3195984625
"6",-0.5,-0.50218352386,0.0595585881909052,-0.6153826015,-0.384685046
"7",-1.4,-1.5240830854,0.148405268628243,-1.786190735,-1.174945135
"8",0,-0.009941825978765,0.02820058071049,-0.066958752,0.04040938965
"9",0,0.014926151028356,0.0261692158089919,-0.034932165875,0.063792677
"10",100.76,100.76,100.76,100.76,100.76
