"","Actual","mean","sd","2.5%","97.5%"
"1","0.5",0.3858781236222,0.197017219901827,0.027520144025,0.75754528025
"2","0.75",0.38520470409144,0.231354548697405,0.016833778075,0.77922881525
"3","0.85",0.8854010663,0.116841633938077,0.4854262255,0.9718874385
"4","0.95",0.736292430174,0.17779558394319,0.21794972125,0.92143132125
"5","0.6|0.7|0.6|0.5",1.49708059436,0.205470446855992,1.0584831725,1.87970081
"6","1.9",2.2818421752,0.186423766213673,1.91333082,2.6519664775
"7","-0.5",-0.55425227453,0.0679477787074749,-0.6845850565,-0.43149169925
"8","-1.4",-1.6846848229,0.141839167125804,-1.9295065725,-1.4152192325
"9","0",-0.0133374761464651,0.0298824468489193,-0.07239408045,0.0429473092
"10","0",0.01544417640827,0.0279889113626972,-0.04293434595,0.0680685696
"11","148.34",148.34,148.34,148.34,148.34
