"","Actual","mean","sd","2.5%","97.5%"
"1","0.5",0.191171710877,0.137659391323584,0.02407591595,0.55993607125
"2","0.75",0.1557788174705,0.125045186215302,0.018778132725,0.48822193775
"3","0.85",0.265737155821,0.16420815401759,0.04214792325,0.6560862105
"4","0.95",0.2041401386255,0.149173196836885,0.031053725925,0.58301197275
"5","0.6|0.7|0.6|0.5",1.8553407379,0.059819474030807,1.7441622025,1.97486678
"6","1.9",3.1585649162,0.0591874831471164,3.0401418,3.2764746325
"7","-0.5",-0.62451754432,0.060111792560404,-0.73995453925,-0.50800641325
"8","-1.4",-2.2760395924,0.0586641330735608,-2.3882410825,-2.16304446
"9","0",-0.000593355463421,0.0318274668508569,-0.059151709125,0.065750260225
"10","0",0.0158644026331108,0.0306661091956709,-0.044906213425,0.07443287475
"11","19.27",19.27,19.27,19.27,19.27
