"","yhat_SN",""
"z_all[1]",0,0
"z_all[2]",1,1
"z_all[4]",1,1
"z_all[5]",1,1
"z_all[6]",0,0
"z_all[7]",0,0
"z_all[8]",1,1
"z_all[9]",0,1
"z_all[10]",0,0
"z_all[11]",1,1
"z_all[12]",1,1
"z_all[13]",1,1
"z_all[14]",0,0
"z_all[15]",1,1
"z_all[16]",1,1
"z_all[17]",1,1
"z_all[18]",1,1
"z_all[19]",1,1
"z_all[20]",1,1
"z_all[21]",1,1
"z_all[22]",0,0
"z_all[23]",0,0
"z_all[24]",0,0
"z_all[25]",1,1
"z_all[26]",1,1
"z_all[28]",0,0
"z_all[29]",1,1
"z_all[30]",1,1
"z_all[31]",1,1
"z_all[32]",1,1
"z_all[33]",1,1
"z_all[34]",0,1
"z_all[35]",0,0
"z_all[36]",0,1
"z_all[37]",1,1
"z_all[38]",0,0
"z_all[39]",1,1
"z_all[40]",0,0
"z_all[41]",0,1
"z_all[42]",1,1
"z_all[43]",0,0
"z_all[44]",1,1
"z_all[45]",0,0
"z_all[46]",0,0
"z_all[48]",1,1
"z_all[49]",0,0
"z_all[50]",1,1
"z_all[51]",1,1
"z_all[52]",0,0
"z_all[53]",0,0
"z_all[54]",0,0
"z_all[55]",1,1
"z_all[56]",1,1
"z_all[58]",1,0
"z_all[59]",1,1
"z_all[60]",0,1
"z_all[61]",1,1
"z_all[62]",1,1
"z_all[63]",0,0
"z_all[64]",1,1
"z_all[65]",0,0
"z_all[66]",0,1
"z_all[67]",0,0
"z_all[68]",1,1
"z_all[69]",0,0
"z_all[70]",1,1
"z_all[71]",0,0
"z_all[72]",1,1
"z_all[73]",0,0
"z_all[74]",0,0
"z_all[75]",0,0
"z_all[76]",1,1
"z_all[77]",0,0
"z_all[78]",0,0
"z_all[79]",0,0
"z_all[80]",1,0
"z_all[81]",1,1
"z_all[83]",1,1
"z_all[84]",0,0
"z_all[86]",0,0
"z_all[87]",1,1
"z_all[88]",0,0
"z_all[89]",0,1
"z_all[90]",1,1
"z_all[91]",1,1
"z_all[92]",1,1
"z_all[93]",0,0
"z_all[94]",1,1
"z_all[95]",1,1
"z_all[96]",1,1
"z_all[97]",0,0
"z_all[98]",0,0
"z_all[99]",1,1
"z_all[100]",1,0
"z_all[101]",0,0
"z_all[102]",1,1
"z_all[103]",0,0
"z_all[104]",1,1
"z_all[105]",0,0
"z_all[106]",1,1
"z_all[107]",1,1
"z_all[108]",1,1
"z_all[109]",1,1
"z_all[110]",1,1
"z_all[111]",0,0
"z_all[112]",0,0
"z_all[113]",1,1
"z_all[114]",0,0
"z_all[115]",1,0
"z_all[116]",0,0
"z_all[117]",1,1
"z_all[118]",0,0
"z_all[119]",1,1
"z_all[121]",0,0
"z_all[122]",1,1
"z_all[123]",1,0
"z_all[124]",0,1
"z_all[125]",1,0
"z_all[126]",1,1
"z_all[127]",1,1
"z_all[128]",0,0
"z_all[129]",0,1
"z_all[130]",0,0
"z_all[131]",0,0
"z_all[132]",0,0
"z_all[133]",0,0
"z_all[134]",0,0
"z_all[135]",1,0
"z_all[136]",0,0
"z_all[137]",1,1
"z_all[138]",1,1
"z_all[139]",0,0
"z_all[140]",1,1
"z_all[141]",0,0
"z_all[142]",1,1
"z_all[143]",1,1
"z_all[144]",1,1
"z_all[145]",0,0
"z_all[146]",0,0
"z_all[147]",1,1
"z_all[148]",1,1
"z_all[149]",0,0
"z_all[151]",1,1
"z_all[152]",1,0
"z_all[153]",1,1
"z_all[154]",1,1
"z_all[155]",0,1
"z_all[156]",0,1
"z_all[157]",1,1
"z_all[158]",1,1
"z_all[159]",0,0
"z_all[160]",1,1
"z_all[161]",0,0
"z_all[163]",1,1
"z_all[164]",1,1
"z_all[166]",1,1
"z_all[167]",0,0
"z_all[168]",0,0
"z_all[169]",0,0
"z_all[170]",0,0
"z_all[171]",1,1
"z_all[172]",1,1
"z_all[173]",0,0
"z_all[174]",1,1
"z_all[175]",1,0
"z_all[176]",1,1
"z_all[177]",1,1
"z_all[178]",1,1
"z_all[179]",1,1
"z_all[181]",0,0
"z_all[182]",1,1
"z_all[183]",0,1
"z_all[184]",0,0
"z_all[185]",0,0
"z_all[186]",0,0
"z_all[187]",1,1
"z_all[188]",1,1
"z_all[189]",0,0
"z_all[190]",0,0
"z_all[191]",1,1
"z_all[192]",1,1
"z_all[193]",0,0
"z_all[194]",0,1
"z_all[195]",1,1
"z_all[196]",0,0
"z_all[197]",1,1
"z_all[198]",0,0
"z_all[199]",0,0
"z_all[200]",1,1
"z_all[201]",1,1
"z_all[202]",1,1
"z_all[203]",1,1
"z_all[205]",0,0
"z_all[206]",1,1
"z_all[207]",1,1
"z_all[208]",0,0
"z_all[209]",0,0
"z_all[210]",1,1
"z_all[211]",1,1
"z_all[212]",1,1
"z_all[213]",0,0
"z_all[214]",0,0
"z_all[215]",1,1
"z_all[216]",1,1
"z_all[217]",0,0
"z_all[218]",0,0
"z_all[219]",1,1
"z_all[220]",0,0
"z_all[221]",0,0
"z_all[222]",1,1
"z_all[224]",0,0
"z_all[225]",0,0
"z_all[226]",1,1
"z_all[227]",1,1
"z_all[228]",0,0
"z_all[229]",1,1
"z_all[230]",1,1
"z_all[231]",0,1
"z_all[232]",0,0
"z_all[233]",0,0
"z_all[234]",1,1
"z_all[235]",1,1
"z_all[236]",1,1
"z_all[237]",1,0
"z_all[238]",0,0
"z_all[239]",0,0
