"","Actual","mean","sd","2.5%","97.5%"
"1","-0.5",-0.1411604883944,0.711962288799917,-0.9432247775,0.8593790365
"2","0.75",0.4044566761639,0.606129609233235,-0.84390405475,0.93305413175
"3","-0.85",-0.3103307843307,0.763649355211222,-0.95973192225,0.91864895575
"4","0.95",0.652275187095,0.575111686416475,-0.906600097,0.96207743575
"5","0.6|0.7|0.6|0.5",0.64421822132006,0.435325224052763,-0.198853811,1.5867988575
"6","1.9",1.9513141867,0.283838888356298,1.26425,2.40125526
"7","-0.5",-0.53675632384,0.0872117885781129,-0.69093882675,-0.3362570795
"8","-1.4",-1.52875398693,0.225363422190413,-1.898638465,-0.9904920005
"9","0",0.010528963795365,0.026400051069095,-0.04321525465,0.061949345975
"10","0",0.006495549351861,0.0264720313993293,-0.043027797025,0.056724112625
"11","4779.4",4779.4,4779.4,4779.4,4779.4
